Job_Name,Company_Name,Location,Salary,Description,Skills
Technical Support Executive,Whitehat Education Technology Pvt. Ltd.,NA,200000 - 300000,"Recruit & train teachers at scale in delivering an excellent online classroom experience.In 2030, Artificial Intelligence and Robotics will touch 800 Million…","Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
Director of Research Centre,Perrett Laver,"Mumbai, Maharashtra",NA,"Jio Institute, promoted by Reliance Industries Limited (A Fortune Global 500 Company) and Reliance Foundation, is envisioned to be an exemplary…","Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
IS Auditor,Société Générale,"Bengaluru, Karnataka",NA,An experienced IT Internal Auditor is a must (Experience 7years to 11 years ) .Should have good IT RIsk Management knowlege ;Starting date: 03/11/2020.,"Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
Academic Lead (Provost Equivalent),Perrett Laver,"Mumbai, Maharashtra",NA,"Jio Institute, promoted by Reliance Industries Limited (A Fortune Global 500 Company) and Reliance Foundation, is envisioned to be an exemplary…","Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
Artificial Intelligence Engineer,Grid Logic Software Private Limited,"Hyderabad, Telangana",NA,AI Engineer is a new requirement to improve efficiency of our current AI results.You will be part of a team helping chart our future AI strategy and define the…,"Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
"Team Lead, Siri Annotation Team",Apple,"Hyderabad, Telangana",NA,You’re passionate about supporting others to achieve the highest level of service in every interaction.You’re a role model and leader who advocates for their…,"Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
UX Designer,Innoplexus,"Pune, Maharashtra",NA,Our products leverage proprietary algorithms and patent pending technologies to help global Life sciences & Financial services organizations with access to…,"Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
IAM Analyst & Control Performer,Société Générale,"Bengaluru, Karnataka",NA,"I. Controls (IAM User & IAM-IT).Timely Control executions and identify continuous improvements related to IAM Roles, HR Status, Exceptions, Access…","Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
Junior Data Scientist/ta,WSD Consultant,India,700000 - 1500000,"Gurgaon, Bangalore, Mumbai, Pune, Chennai, Hyderabad.Candidate should qualify checklist written below:Ques: Does the candidate has strong knowledge in Data…","Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
Data Practitioner,Colgate-Palmolive,NA,NA,"Machine learning, artificial intelligence, Advanced Statistics, Coding skills, Data to decisions framework, pricing and promotion analytics, marketing analytics…","Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
Artificial Intelligence / Machine Learning Engineer,Satvat,"Chennai, Tamil Nadu",NA,Experience in creating and using advanced machine learning algorithms and statistics.Experience in any data visualization tool: matplotlib / Tableau / ggplot2 …,"Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
Compliance Risk Controller,Société Générale,"Bengaluru, Karnataka",NA,The role will operate in a global environment with interactions with several global stakeholders at senior levels within the organization.,"Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
Machine Learning / Artificial Intelligence Engineer,The Alacer Group,NA,1000000 - 2000000,The candidate must be fluent in artificial intelligence and machine learning techniques.Alacer Systems and Technologies* is looking for an artificial…,"Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
Analyst- Risk review & validation (RAF),Société Générale,"Bengaluru, Karnataka",NA,Objective: Be compliant with regulations & internal rules and enable Business Units (Bus) to manage their risks.2 years in the IT environment.,"Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
Customer Success Associate,Ocrolus,"Gurgaon, Haryana",NA,Ocrolus is a fintech infrastructure company that transforms documents into actionable data.Powered by Artificial Intelligence and a unique human-in-the-loop…,"Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
AIOPS Application Developer,IBM,Bihar,NA,"IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition.Passion for IBM and Clients.","Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
"ASIC Digital Design Engr, I",Synopsys,"Mumbai, Maharashtra",NA,"At Synopsys, we’re at the heart of the innovations that change the way we work and play.5G. The Internet of Things.Does this sound like a good role for you?","Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
Angular Developer,Beadcore Infotech Private Limited,"Noida, Uttar Pradesh",NA,Beadcore Infotech is Artificial Intelligence based Company employing AI to provide advanced actionable video analytics.Knowledge of databases MySQL or MongoDB.,"Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
Data Science Developer,MSCI Inc,"Mumbai, Maharashtra",NA,The Data Technology group within MSCI is responsible for providing data products to different product lines of MSCI.Overall 4+ years of experience.,"Scala,Java,Python,mathematical skills,knowledge of cloud applications,computer languages,excellent communication,analytical skills,machine learning,intellectual curiosity,business,data science,data statistics,data structures,trees,optimization algorithmsgraphs,linear programming,Bayesian principles,conditional probability, Statistics,probability distribution, Data modeling, model validation, Linear Algebra, Calculus, Statistics, Signal Processing Techniques, Applied Math and Algorithms, Neural Network Architectures"
