Job_Name,Company_Name,Location,Salary,Description,Skills
Backend Java Developer,RepTime Sales Software,NA,25000 - 35000,"Looking for Java Developer with Springboot hands-on.Hands-on individual responsible for producing excellent quality of code, adhering to expected coding…","PostgreSQL,MySQL,GraphQL,Node.js,MongoDB,Server Handling,web-frameworks,optimize queries"
Backend Developer - E- Learning,EduBridge Learning Pvt.Ltd,"Mumbai, Maharashtra",NA,"We are looking for an experienced and accomplished DevOps and Back-end Developer (Golang, Clojure, Ruby on Rails) to build the LMS.Temporarily due to COVID-19.","PostgreSQL,MySQL,GraphQL,Node.js,MongoDB,Server Handling,web-frameworks,optimize queries"
Hiring for Backend Developer Nodejs / AWS/SQL,Tiara Consulting Services,"Andheri, Mumbai, Maharashtra",30000 - 60000,We are looking for 3 candidates with Relative Experience of (1-4 years) in Backend Engineering on a high priority.*.It is the most important.,"PostgreSQL,MySQL,GraphQL,Node.js,MongoDB,Server Handling,web-frameworks,optimize queries"
Backend Developer,SoftTech Services,"Bengaluru, Karnataka",NA,Should be able to Integrate user-facing elements developed by front-end developers with server side logic.We are a fast growing Managed Service Provider with…,"PostgreSQL,MySQL,GraphQL,Node.js,MongoDB,Server Handling,web-frameworks,optimize queries"
Backend Developer,Schbang Digital Solutions Pvt Ltd,"Mumbai, Maharashtra",NA,Ability to work closely with front end developers.Taking ready HTML/CSS files from front end developers and executing the project based on the logic and…,"PostgreSQL,MySQL,GraphQL,Node.js,MongoDB,Server Handling,web-frameworks,optimize queries"
Freshers - iOS Developer,Tech Exactly,India,NA,Collaborate with backend team for API planning and execution.Design and Develop native iOS applications using Swift.Publish apps on App Store.,"PostgreSQL,MySQL,GraphQL,Node.js,MongoDB,Server Handling,web-frameworks,optimize queries"
Backend Developer,Tripoto,"New Delhi, Delhi",NA,1-5 years of experience in designing and developing complex backend systems.A strong presence on developer websites like GitHub and StackOverflow is a plus.,"PostgreSQL,MySQL,GraphQL,Node.js,MongoDB,Server Handling,web-frameworks,optimize queries"
Android Developer,Edzeal Technologies,"Pune, Maharashtra",NA,"8)Git ,as well as backend skills.We are looking for an Android developer responsible for the development and maintenance of applications aimed at a vast number…","PostgreSQL,MySQL,GraphQL,Node.js,MongoDB,Server Handling,web-frameworks,optimize queries"
MEAN Stack Developer,ARL IT Services,"Mumbai, Maharashtra",600000 - 750000,Hands on work experience on MEAN Stack i.e.Angular 2+ experience min 1 year.Backend Technologies - Node js min 1 year.Job Type : Full-time Permanent job.,"PostgreSQL,MySQL,GraphQL,Node.js,MongoDB,Server Handling,web-frameworks,optimize queries"
Web Developer,Wise,India,NA,Demonstrated accomplishments as a web developer.Here's what you'll do at Wise.You’ll be the Web Developer at Wise.Who does this role report to?,"PostgreSQL,MySQL,GraphQL,Node.js,MongoDB,Server Handling,web-frameworks,optimize queries"
Cosmos DB Back end Developer,Larsen & Toubro Infotech Limited,India,NA,Backend developer with non-SQL data modelling experience specifically in Cosmos DB.Hands on/skilled in data retrival techniques and design data model to suite…,"PostgreSQL,MySQL,GraphQL,Node.js,MongoDB,Server Handling,web-frameworks,optimize queries"
Android Backend Developer,Unique IT Tech,"Haridwar, Uttarakhand",12000 - 16000,"Candidate should have knowledge of frontend and backend both.Salary: ₹12,000.00 - ₹16,000.00 per month.Android development: 1 year (Required).","PostgreSQL,MySQL,GraphQL,Node.js,MongoDB,Server Handling,web-frameworks,optimize queries"
Backend Developer,Blue Tokai Coffee Roasters,"Delhi, Delhi",NA,We are looking for incredible people that are also very passionate and experienced developers to join our office in Delhi.The role is yours to make.,"PostgreSQL,MySQL,GraphQL,Node.js,MongoDB,Server Handling,web-frameworks,optimize queries"
Software Developer Backend,HIRING STREET,"Chennai, Tamil Nadu",NA,Salary: Not Disclosed by Recruiter.Industry:IT-Software / Software Services.Functional Area:IT Software - System Programming.,"PostgreSQL,MySQL,GraphQL,Node.js,MongoDB,Server Handling,web-frameworks,optimize queries"
