Job_Name,Company_Name,Location,Salary,Description,Skills
Executive Assistant/ Business Analyst to CEO,SoilTree Marketing Services Pvt Ltd,"Mumbai, Maharashtra",25000 - 30000,"Follow- up with a leader.Drive, Execute, take initiatives on my behalf.Annual operating plan of the company.Support in financial Decision.","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,MedTourEasy,"New Delhi, Delhi",700000,Define configuration specifications and business analysis requirements.Experience in analysing data to draw business-relevant conclusions and in data…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,Cotiviti India,"Pune, Maharashtra",NA,Flexibility to travel on business need preferred.Keeps pace with change – acquires knowledge/skills as the business evolves.Works with a sense of urgency.,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,Netbramha,"Bengaluru, Karnataka",NA,"Analyze client business goals, objectives & needs.Respond to RFPs, setup business calls & meetings with clients.Work closely with internal stakeholders.","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Development Analyst Trainee for 2019&2020 batch,CEDCOSS Technologies,"Lucknow, Uttar Pradesh",7000 - 15000,"Job Responsibilities \* Identifying new business prospects from multiple sources like LinkedIn, existing database, social media research etc. \* Doing…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analysis,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",NA,"Working at the intersection of business and technology, you'll interact with colleagues in various lines of businesses to learn about challenges and…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
PRE SALES BUSINESS ANALYST,NorthPole Consultancy,"Mohali, Punjab",NA,"Handle assigned leads o Calls and Follow-ups with the clients o Custom Requirements Understanding/Gathering o Involve Seniors Team members, if required.","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Senior Business Analyst,Capstone Technologies LLC,"New Delhi, Delhi",50000 - 70000,"Review, analyze and evaluate business systems and user needs.Document requirements, define scope and objectives and formulate systems to parallel overall…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Development Associate -Sales,Byju's Think and Learn Pvt. Ltd,"Mumbai, Maharashtra",300000 - 1000000,"Prior experience in sales and business development is an add-on.BYJU’S is looking for passionate, self-driven, and focused individuals who.","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst Level,CRIF,"Pune, Maharashtra",NA,"Elicit requirements using interviews, requirements workshops, surveys, site visits, business process review.Requirement Gathering with deliverables in project…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
