Job_Name,Company_Name,Location,Salary,Description,Skills
Data Analyst,Eduauraa Technologies Pvt Ltd,"Andheri, Mumbai, Maharashtra",400000 - 600000,"Working knowledge of data mining principles: predictive analytics, mapping, collecting data from multiple data systems on premises and cloud-based data sources.","Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Scientist,skilora,Remote,NA,Ability to translate data insights into product decisions.Enthusiasm for learning new things and going deep into detailed data analysis.What you’ll be doing:,"Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Analyst,Alembic pharmaceutical,"Vadodara, Gujarat",550000 - 750000,Define vital people data performance indicators.Provide information on analytic results to business and functional leaders using visualizations to communicate…,"Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Clinical Research Scientist I,Teva Pharmaceuticals,"Navi Mumbai, Maharashtra",NA,"To ensure that the data is complete, accurate, legible and internally consistent and maintain timelines.To ensure the accuracy, completeness, legibility and…","Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Advanced Data Scientist,Honeywell,"Bengaluru, Karnataka",NA,"Develop data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs.","Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Scientist,Makrocare,"Hyderabad, Telangana",NA,Undertakepreprocessing of structured and unstructured data.Identifyvaluable data sources and automate collection processes.,"Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Experienced Associate - IPS Data Analytics,PwC,"Mumbai, Maharashtra",NA,"Knowledge of data mining tools like Alteryx.Knowledge of statistical data analysis software like R, SAS.A career in our Advisory Service Delivery Centre is…","Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Junior Associate - Data Analyst,AstraZeneca,"Chennai, Tamil Nadu",NA,"Experience of data analysis – profiling, investigating, interpreting and documenting data structures.Ability to derive insights from multifaceted data and…","Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Scientist,BrandIdea Consultancy P Ltd,"Chennai, Tamil Nadu",NA,Develop customized algorithms to solve analytical problems with incomplete data sets.Need strong oral & written communication skills to present data as a…,"Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Manager - Analytics & Insights,Procter & Gamble,NA,NA,Shown success at deriving insight from data and successfully communicating those insights to drive action.Promotions. We use big data sources and analytics to…,"Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Scientist - Technology Development,Micron,"Hyderabad, Telangana",NA,"Ability to extract data from different databases via SQL and other query languages and applying data cleansing, outlier identification, and missing data…","Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Scientist,SearchUrCollege,"Noida, Uttar Pradesh",NA,"Knowledge of data visualization tools like Tableau/Power Bi etc will be an added advantage.Analyze and dig out carefully vetted, actionable insights from …","Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Scientist,RGF Professional Recruitment,"Gurgaon, Haryana",NA,"You will work with world-class engineers to build the next generation data-driven Renewable company strategy using the latest technology stack, such as Apache…","Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Entry Analyst,"HRTMS, Inc.",NA,NA,You will be required to make judgements on some data as it is transferred.You may have occasion to import client data into our system from an Excel spreadsheet…,"Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Entry Analyst,"HRTMS, Inc.",NA,NA,You will be required to make judgements on some data as it is transferred.You may have occasion to import client data into our system from an Excel spreadsheet…,"Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Scientist,Mahajan Imaging,"Defence Colony, Delhi, Delhi",NA,Responsible for driving Mahajan Imaging's new focus on medical informatics and data analytics:Preferably well aquainted with SQL based PACS and Hospital…,"Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Entry Analyst,"HRTMS, Inc.",NA,NA,*Title: * Data Entry Analyst Written Communication and Data Entry Assessments are required for your application to be considered. HRTMS is looking for…,"Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Scientist,Sentieo,"New Delhi, Delhi",NA,"Comfortable with data visualization tools like pandas,seaborn and matplotlib.Enhancing data collection procedures to include information that is relevant for…","Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Analyst,Lifelong Solutions,"Sreekaryam, Thiruvananthapuram, Kerala",8000,In data research with quality check process revolves around gathering and reviewing data prepared by data researches.CDR stands for Core Data Research.,"Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Senior Data & Applied Scientist,Microsoft,"Bengaluru, Karnataka",NA,You will collaborate with top machine learning scientists and engineers in delivering direct business impact.Microsoft is an equal opportunity employer.,"Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Scientist,Cove Venture,"Guntur, Andhra Pradesh",60000 - 100000,"60,000 to Rs 1,00,000 per month.As a Data Scientist you will work with huge datasets, troubleshooting challenging issues with machine learning, programming and…","Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Scientist,Piramal Enterprises,"Vadodara, Gujarat",NA,Did you know: Piramal Glass is a trailblazer in the use of digital technology in glassmaking and has recently been recognised as India 100 Best Companies to…,"Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Scientist Python Machine Learning Tableau Server,Brain Management Consultants India Private Limited,"Pune, Maharashtra",NA,"Â€¢Machine Learning: Classification, Regression, Clustering, Decision Tree, K-Means Clustering, NaÃ¯ve Bayes.Â€¢Programming Languages: R, Python.","Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Data Analyst,Netradyne,"Bengaluru, Karnataka",NA,"Location: Bangalore Experience Required: 0 to 3 years ROLE AND RESPONSIBILITIES Primary role will be to understand the daily challenging problems, perform…","Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Machine Learning Scientist (3 -5 yrs),"Agilysys, Inc.","Chennai, Tamil Nadu",NA,"Proven hands on experience working with large data sets and training models.Experience working effectively with science, data processing, and software…","Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
Research Scientist Chemistry,PI Industries Ltd.,"Udaipur, Rajasthan",NA,"Carrying out synthetic experiments safely, efficiently, capturing all the experimental procedures and data effectively.Industry to be Hired from.","Statistics,R,Python,Data Extraction,Data Transformation,Data Loading,Data Wrangling , Data Exploration,Machine Learning Algorithms,Advanced Machine Learning (Deep Learning),Big Data Processing Frameworks ,Data Visualization"
