Job Name,Company Name,Location,Salary,Description,Skills
"Consultant,Senior Consultant",Deloitte,"Mumbai, Maharashtra",NA,We combine leading digital and creative capabilities with the deep industry knowledge and experience Deloitte is known for.,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
QA Engineer,Shipsy,"Gurgaon, Haryana",NA,"Company sponsored enrolment worth 40K annually to online learning resources like Coursera, edX etc.Some examples include a voice assistant that tells you about…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Data Scientist - Machine Learning/Deep Learning - W F H,"Ultramatics, Inc.","Bengaluru, Karnataka",200000,"Create, evaluate, and deploy machine learning models to provide real-time predictions to improve business processes.Knowledge of application and data security.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Computer Vision Engineer,SwitchOn,"Bengaluru, Karnataka",580000 - 800000,We have a system of capturing images at high speed in manufacturing lines which feed deep-learning frameworks to isolate faults in parts produced.,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Deep Learning Internship,Untrodden Labs,"Delhi, Delhi",6000 - 7000,Must have knowledge of deep learning and data processing.Develop required machine learning models or prototype applications applying formulated AI recipes and…,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Assistant Manager,Vodafone,India,NA,"The Business Intelligence Advisor supports in the delivery of Business Intelligence (BI) capabilities, which play a key role in strategic planning and allow the…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
FPGA and System Design Engineer ( 0 to 2 years),Yantravision Software Pvt Ltd,NA,20000 - 35000,"Looking for engineers with FPGA and RTL Design Skills.Design, RTL Coding & Basic Verification Skills.FPGA Toolchain - Integration, Synthesis & Implementation.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Machine Learning and deep learning Developer.,Brainamaze,"Gurgaon, Haryana",50000 - 100000,Machine learning and deep learning Developer.Qualifications Degree BachelorMaster’s DegreeB.E/B.TechM.E/M.Tech.,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Web Content Writer,Yashus Digital Marketing,"Viman Nagar, Pune, Maharashtra",NA,"A deep understanding of consumers and what motivates them online.Great research, organizational, and learning skills.Write engaging content for across genres.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Biz Fin Analyst,Udaan,"Bengaluru, Karnataka",NA, Work with Category Head to develop strategy for a vertical and develop deep understanding of.The numerous variables driving business and leverage those to…,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
AI/Machine Learning Engineer,AssetOne,"Pune, Maharashtra",NA,Experience in building distributed deep learning models leveraging GPUs.Scientific expertise and real-world experience in deep learning.Exp: 2 to 6 years.,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Technology Reskilling and Development Program Manager,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",NA,"Building out and managing alumni engagement, continuous learning journeys and eternal engagement.In this role you will work with the Development and Reskilling…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Team Lead - Learning & Development,Prodapt SA,"Chennai, Tamil Nadu",NA,Degrees in learning and HR would be a plus.Work with business and get a deep understanding of the needs of the organization.Position Title: Team Lead - L&D.,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Programmer,CCS Computers,India,NA,"Work in the area of deep learning to port cutting-edge Sentiment Analysis/ deep learning/ machine learning/ other models onto high end multi-GPU servers,…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Research Analyst,FintastIQ,"Indore, Madhya Pradesh",NA,Reporting to: Product Manager/ Head (Equity/Commodity).Accountability: Generating high quality intra-day recommendations by conducting thorough technical…,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
SDM Manager,Microsoft,"Hyderabad, Telangana",NA,"This person will lead our group of Partner Technical Advisors that deliver deep technical support to our Outsourced Delivery Partners Globally, empowering…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Manufacturing & Distribution Consultant Senior Staff,Crowe,"Noida, Uttar Pradesh",NA,"Building upon a foundation of deep industry specialization, Crowe professionals follow a detailed innovation road map to create original, practical solutions…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
MN Learning Solutions Expert,CO E&A Customer Operations EMEA & APAC,"Noida, Uttar Pradesh",NA,"Contribute to collection and prioritization of learning topics within CaDe team.Proficiency in modern/innovative learning design and technology (Scorm,…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Content Writer – Chennai,PRIFFY,"Chennai, Tamil Nadu",NA,"Impeccable in English spelling and grammar, A deep understanding of consumers and what motivates them online.Excellent overall writing skills in various styles…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
