Job_Name,Company_Name,Location,Salary,Description,Skills
Game Designer-Slots,Zynga,"Bengaluru, Karnataka",NA,Innovate or evolve leading slots game features to work with new games and existing games.Worked for 3+ years in professional game development as a designer.,"Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
Senior Instructional Designer,vega content,"Bengaluru, Karnataka",65000,"Must have designed and developed a variety of training and content including blended learning (with an emphasis on exercises, role-plays, activities) , e…","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
3D Assets designer for 3D Games,iStudio Technologies,NA,NA,"Create beautiful characters, assets, environments and animations to be rolled out into the game and game characters.Delivering Task in Given deadline.","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
Mobile Games QA Analysts,June Gaming,"Pune, Maharashtra",NA,"Contribute to sprint planning for our games.You will work closely with our developers, designers, artists, and data analysts to quickly and accurately diagnose…","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
3D Assets designer for 3D Games,iStudio Technologies,NA,NA,"Create beautiful characters, assets, environments and animations to be rolled out into the game and game characters.Delivering Task in Given deadline.","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
GRAPHIC DESIGNER,Ugaoo.com,"Pune, Maharashtra",NA,"Develop game-changing and innovative designs for digital marketing, mailers, and illustrations as well as support all advertising/brand initiatives.","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
Communications and Content Marketing Role,VMD Agro,NA,15000 - 25000,"2-4 years of experience as a Visual/UI designer, preferable with Professional Photography skills.Bonus: Should be able to craft, architect and visualise…","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
"GAMING All day, Everyday!",IDZ Digital Pvt. Ltd.,"Mumbai, Maharashtra",130000,We need a board game designer to work with us to create board games.The work will be creating board games for mobile and actual physical kids board games.,"Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
3D Generalist,[x]cube LABS,"Hyderabad, Telangana",NA,Ability to create and adapt to various game art styles.Ability to work on low poly game assets and make beautiful and memory-efficient textures and effects.,"Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
Graphics (Fresher) Designer,Oengines Game Studio,"Surat, Gujarat",70000 - 80000,"Revise the work of previous designers to create a unified aesthetic for our brand materials.We are looking for Graphics Designer, photoshop professional who…","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
UI/UX Designer - Gaming,June Gaming,"Pune, Maharashtra",NA,"Design the Supergaming platform and social games.Work closely with both internal and external designers.You will be designing the Supergaming platform, social…","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
Lead Unity Developer(Exp 5+),Infocom,"Kochi, Kerala",NA,"Implement systems for the games based on design specifications• Implement, debug and refine core game play features.Experience in C# is must.","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
Graphic Designer/Senior Graphic Designer,Junglee Games,"Gurgaon, Haryana",NA,"Our designers have worked on some of Hollywood’s biggest hits, including the movie Avatar.Some of our notable games are Junglee Rummy, Eatme.io, Junglee Teen…","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
Web & Graphic Designer,Ucodice Technologies Pvt. Ltd.,"Noida, Uttar Pradesh",NA,Proven work experience as web designer.In-house games - Sometimes we feel bore doing coding whole day so its better to refresh our mind by playing in house…,"Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
Graphic Designer,ClearPoint Learning,"Shivajinagar, Pune, Maharashtra",NA,You create engaging user experiences—you’re not simply a graphic designer who can create user interfaces.You have the ability to visually tell a story based on…,"Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
Programmer (C++),Sumo Digital Ltd,India,NA,Work with designers to implement gameplay and user interface elements to the designers' specifications.Working experience in game production.,"Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
Unity 3D Manager,HoloPundits,"Chennai, Tamil Nadu",NA,"We are looking for Unity 3D Manager with more than 10 years of experience to manage a team of Unity 3D Developers and 3D Model Designers to design, develop,…","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team"
