Job_Name,Company_Name,Location,Salary,Description,Skills
MERN Stack Developer,EngineerBabu,"Indore, Madhya Pradesh",NA,"Experience in React JS, developer tools such as Chrome Developer Tools, modern frameworks like Flexbox & Sass.Intermediate Level HTML5, CSS3, JavaScript.","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Module Lead MERN Stack Developer,Chapter247,"Indore, Madhya Pradesh",NA,"Experience: 1-3 yrs (Relevant 1 yr).Skills : React.js, Redux, Node.js, javascript, jquery, mongoDB, Express.js, Loopback.js, GitLab, GitHub, Bitbucket, ESLint,…","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Full-stack MERN Developer,Metric Tree Labs,NA,45000 - 60000,"At Metric Tree Labs, we are looking for a full-stack javascript developer who is proficient in MEAN/MERN stack to join our fast-growing team.","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
MERN Stack Developer,Intelligaia,"Panchkula, Haryana",NA,Intelligaia is looking for enthusiastic MERN stack(React.js major) developers to work on our products and create Micro Services/Web Apps/Modular software etc.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Full Stack Developer/ Mern stack Developer,Atm Softek,"Sech Bhavan, West Bengal",15000 - 30000,Urgent requirement for Fullstack backend frontend development expertise.ANGULAR Developer and Nodejs Developer (MERN STACK DEVELOPER)*.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Full Stack Developer,ABC for Technology Training,"Vijayanagar, Bengaluru, Karnataka",NA,"Implement full-stack projects with CI/CD pipeline.Full stack application development: 1 year (Preferred).Proficient in Technology stacks – MEAN, MERN, Django.","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
NodeJS Developer,Solwin Infotech,"Surat, Gujarat",NA,"Experience knowledge with MERN/MEAN stack Familiarity with the whole web stack, including protocols and web server optimization techniques.","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Awesome Express JS/ Node JS/ Laravel Developer,Gito.me,"Bengaluru, Karnataka",NA,We are looking for a completely hands-on Full-stack developer who has great knowledge and understanding of the various technologies involved in making the…,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Tech Lead,Simform,"Ahmedabad, Gujarat",NA,"Occasionally working as a software developer if the situation demands.Delivering training sessions and providing technical guidance to the developers, deep…","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Senior Full Stack .Net Cloud Developer with NodeJS,Prodigy Systems & Services Pvt Ltd,"Hyderabad, Telangana",15000,"Node JS, MEAN or MERN stack.Prodigy is a 16 year young IT and software services company head quartered in Hyderabad, India and has remote office on Delaware,…","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
