Job_Name,Company_Name,Location,Salary,Description,Skills
Head Of Analytics – EdTech – Ground Floor !,CareerXperts,"Mumbai, Maharashtra",NA,"Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.5 - 8 Years of Experience.","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
DATA SCIENTIST / MACHINE LEARNING EXPERT,Spectrus,"Bengaluru, Karnataka",NA,"Excellent understanding of Machine learning techniques and algorithms.Good applied statistics skills, such as distributions, statistical testing, regression,…","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
Machine learning Specialsit,Novotree Minds Consulting Private Limited,"Bengaluru, Karnataka",NA,"Â€¢Experience in applying machine learning techniques, Natural Language Processing or Computer Vision using TensorFlow, Pytorch.","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
Service Engineer,Transasia,"Mumbai, Maharashtra",NA,Performance Improvement of the machines handled.First Time Resolution of the machines handled.We are looking at potential candidates who are competent to…,"Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
Market Research Analyst,Kris Kay,"Mumbai, Maharashtra",10000 - 20000,This role involves minimum 2 hours of learning online each day.PLEASE ONLY APPLY IF YOU'RE OPEN TO NEW LEARNING EVERY SINGLE DAY.,"Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
Software Developer,dvsistems,"Pune, Maharashtra",300000 - 500000,Experienced in Python Flask API setup and development.Experienced in Python API Exception handling/Authentication/Authorization/CORS Handling etc...,"Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
Urgent Requirement Machine Learning,ICS Consultancy Services,"Mumbai, Maharashtra",1000000 - 2500000,"Roles and responsibilities for Urgent Requirement Machine Learning.: Role : Application Lead Role Description : Lead the effort to design, build and configure…","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
Sr. Associate - Billing,CrowdStrike,"Pune, Maharashtra",NA,"At CrowdStrike we’re on a mission - to stop breaches. Our groundbreaking technology, services delivery, and intelligence gathering together with our…","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
"Software Engineer Python, Machine Learning/AI",Truedge Software Solutions,"Hyderabad, Telangana",NA,"Software Engineer Python, Machine Learning/AI – Hyderabad.Job Title: Python, Machine Learning/AI – Software Engineer.Other details: Start date: ASAP.","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
Sr. PHP Developer,Datascience Technologies Pvt Ltd,NA,20000 - 50000,"The candidate will support & enhance the range of cloud based products built by Data Science Technologies, in the area of sales & marketing automation.","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
Data Science Intern,singularis software technologies,"Kottayam, Kerala",NA,"No coding experience need for this position.We giving an opportunity for practice coding in Machine Learning , Deep Learning concepts, Artifitial Intellegence…","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
Junior Scientist,Urvogelbio private Ltd,"Hyderabad, Telangana",NA,"Expertise with machine learning tools is a big plus.Machine learning, deep learning and AI tools.UrvogelBio is a biotechnology company, the first of its kind…","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
Data Scientist,Levi Strauss & Co.,"Bengaluru, Karnataka",NA,"JOB DESCRIPTION Duties and responsibilities Develop analytical solutions / production-ready models that solve real business problems, taking account of…","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
Machine Learning Engineering Interns,Indian Angel network,"Delhi, Delhi",NA,Having worked in Machine Learning.With engineering or equivalent background.Desirable Training / Internship(s) in startups.,"Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
MACHINE LEARNING ENGINEER,Neva Ventures,"Bengaluru, Karnataka",NA,"Looking for passionate individuals with strong machine learning background.Hands-on expertise in Artificial Intelligence, Machine Learning, Neural Networks,…","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
Machine Learning Engineer,AISPL,"Coimbatore, Tamil Nadu",15000,We are looking for an expert in machine learning to help us extract value from our data.Proficiency with Python and basic libraries for machine learning such…,"Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++"
