Job_Name,Company_Name,Location,Salary,Description,Skills
Node js developer,legalbabu corporate services pvt ltd,"Mumbai, Maharashtra",400000,Node js: 3 years (Preferred).Looking for young full stack developers who are passionate about technology.Our technology consists of node.js with strongloop…,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Backend Developer - Node JS,Rejolut Technology Solutions Pvt Ltd.,"Navi Mumbai, Maharashtra",NA,"Position: - Backend Developer - Node JS.Experience: - 1 year to 3 years +.Notice Period: - Immediate or 15 days.Design highly scalable, testable code.","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Node Js,Webwing Technologies,"Mumbai, Maharashtra",NA,Experience of Node.js and Angular js Mandatory.Integration of user-facing elements developed by front-end developers with server side logic.,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Sr. Node.js Developer,Multipz Services,"Ahmedabad, Gujarat",NA,"Integration of user-facing elements developed by front-end developers with server-side logic.Writing reusable, testable, and efficient code.","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Node.js Developer - Immediate Joiners - Mumbai,BirlaSoft,"Mumbai, Maharashtra",NA,"Experience – 3 to 5 Years ( atleast 2 Years should be relevant).NP – Immediate Joiners/ 15 Days.Full Stack Javascript engineers using NodeJS, MeteorJS,…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Immediate Hiring for Node.js Developer,Uttarana Technologies,"JP NAGAR 2ND PHASE, Karnataka",500000 - 1000000,"Job Title:: Full stack/ node.js developer.*.As a full stack developer on the engineering team, you will be doing.Willingness to work in a startup ecosystem.","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Node js developer,Ahmedabad Gujarat,"Ahmedabad, Gujarat",35000 - 50000,"Experience: 1 to 5 Years.Interested can apply at hr@techifysolutions .com.Salary: ₹35,000.00 - ₹50,000.00 per month.Node, React, Angular: 1 year (Preferred).","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Node js developer,Azinova Technologies,"Thiruvananthapuram, Kerala",NA,Responsible for writing server- side web application/ business logic.Develop new user- facing features.Work with the existing applications and help evolve it…,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Node.JS Developer,Detecvision Technologies,"Okhla Industrial Estate, Delhi",NA,"As a developer, you care deeply about writing quality/testable/modular code.Affinity for metrics and analytics.Experience with Heroku, AWS,Linux skills.","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
NODE JS DEVELOPER,Spericorn Technology,"Thiruvananthapuram, Kerala",NA,Integration of user-facing elements developed by front end developers with server-side logic.Development of server-side logic.Design new user-facing features.,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Node js developer,Yobored,NA,1000000 - 1200000,JS developer who is proficient in React.Yo Corp. is a data communications and security company.We are looking for a dedicated Node.,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Node js developer,Appic Softwares,"Jaipur, Rajasthan",15000 - 35000,"2+ years of a successful track record as a full stack developer.Working in a dynamic team of developers, designers, and architects.","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Node js developer,Seraphic Infosolutions Private Limited,"Mohali Sas Nagar, Chandigarh",25000 - 35000,"Integration of user-facing elements developed by front-end developers with server-side logic.We are looking for a dynamic, passionate and ace Node js…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
