Job_Name,Company_Name,Location,Salary,Description,Skills
Associate Software Developer (Internship),Educa Academy,"Mumbai, Maharashtra",10000,Educa Academy is a fast growing Education startup based out of Mumbai and we are looking for great candidates to join us as an interns(software developer).,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Web Developer,mechbridge,Remote,8000 - 15000,Mechbridge provides mechanical engineering solutions in Noida.We need to maintain a website which provide online solution for our products.,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer - Min 1 year to 5 years of experience,Alakmalak Technologies Pvt. Ltd.,NA,15000 - 50000,"Alakmalak Technologies was founded in the year 2006, which specializes in web development, website design, eCommerce development, Web Application, Custom…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,Great logics,"Hyderabad, Telangana",10373 - 44902,"Candidate must have great aptitude, desire to learn, and work in challenging environment.Candidate should be focused and self motivated.","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Urgent Opening for PHP Developer with Laravel@Borivali,Nexsus Techno Solutions Pvt. Ltd,"Borivali, Mumbai, Maharashtra",200000 - 600000,"1.Candidate should be ready to travel everyday, no Work from home will be there.2.Hands on Experience in Laravel,Spring,git,jira with 3 yrs is mandatory.","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Python Developer,FirstNucleus Internet Technologies,"Mumbai, Maharashtra",10000,"Looking for PHP developer with knowledge of Python, along with strong knowledge of Core PHP, MySQL, JavaScript, HTML5, CSS3, AJAX and Jquery.","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,Meetanshi Inc,Gujarat,15000 - 50000,PHP Developer Jobs In Meetanshi Inc Posted On 21st August 2020Company Name: Meetanshi Inc Designation: PHP Developer Education : Any Graduate Location:…,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,Ealpha 4Tech,"Hyderabad, Telangana",1000000,We have an immediate requirement for PHP Developer interested candidates can share there updates resumes.Exp Level - 3 to 5 Years. Wear gloves and masks.,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,Veradis Technologies,Tamil Nadu,NA,A Bachelor's or Master's degree in Computer Science or related field Candidates who are trained in PHP with Database skills are preferred.,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP developer (Fresher),symanto software solutions,"Pune, Maharashtra",15000,"This job is only for freshers of 2019-20 batch.BE/MCA/MCS/BCA/BCS.Work from home internship opportunity.Job Types: Full-time, Internship.","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer (PHP & Drupal),MAP Consulting,"Mumbai, Maharashtra",NA,MAP Consulting* is hiring for PHP Developer (PHP & Drupal).Develop web applications using PHP/MySQL having experience of 2plus or more years.,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Web Developer,Sree subhakaryam,"Visakhapatnam, Andhra Pradesh",NA,Website deveper and background operation programer.CSS/CSS3: 1 year (Preferred).Total work: 1 year (Preferred).,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
WEB DEVELOPER,Maxval Technologies,"CBD Belapur, Navi Mumbai, Maharashtra",NA,"Proficient understanding of web markup, including HTML5 and CSS3.Experience in converting PSD to HTML with responsive features.","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Backend Developer - PHP,Shine Web Services,"Mohali, Punjab",40000 - 90000,We are hiring for Developers and Senior Developers - PHP (Back-end) profiles. Location : Work From Home till lock down Office location: Mohali Experience:…,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Frontend Developer,Innovary Technologies,"J. P. Nagar, Bengaluru, Karnataka",NA,"Innovary is seeking an experienced Front–end developer to help in the design, development and delivery.Solid Experience working with HTML, CSS3, Javascript and…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
"PHP Developer, Software Engineer",Zeki Software Solutions,"Mumbai, Maharashtra",NA,"Looking for PHP developer who will be responsible for development, support and maintenance of web applications / Portals and works under high supervision with…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,Krafty Solutions Pvt. Ltd.,"Bengaluru, Karnataka",200000 - 250000,"Krafty Solutions is looking for an enthusiastic, energetic, young-minded mobile application developer(experienced or fresher) who take pride in the work they do…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,Sysboon Technologies,"Govindapuram B.O Kuthiravattom, Kerala",15000 - 30000,"Qualification -B-tech/bca/mca.Experience- 2 year and above.Salary: ₹15,000.00 - ₹30,000.00 per month.Total work: 2 years (Preferred).","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,Brand Provoke Consultants,"Delhi, Delhi",NA,Hands-on experience in cake php and codeigniter.Smart & intelligent who can R&D and fix things from research and help of other developers.,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Software Developer,Cyphware Infotech,"Malad, Mumbai, Maharashtra",NA,"Employee Type : - Full Time, Permanent.Experience in working with any PHP Framework.Demonstrable knowledge of web technologies including HTML, CSS, JavaScript…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,iNextrix technology pvt ltd,"Ahmedabad, Gujarat",NA,"Greetings from the iNextrix technology Pvt Ltd..!!!INextrix Technologies Pvt. Ltd., an innovative provider of IT services, solutions, products focused on.","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Intern - PHP Developer,Convergence IT Services,"Vidyavihar, Mumbai, Maharashtra",NA,"We are hiring Intern - PHP Developer for our product development.Ability to understand our existing code, architecture, and modules built on PHP.","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,Shopkees,"Calicut, Kerala",360000,"String core PHP Hands on experience.Strong Expertise in CodeIgniter Framework .Good Knowledge of PHP5, MySQL, jQuery, Javascript, HTML5, CSS3, XML.","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,Nipuna Technologies,"Guntur, Andhra Pradesh",15000 - 35000,We are looking for a Java developer responsible for building PHP applications.This includes anything between complex groups of back-end services and their…,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Senior Web Developer,Selfkraft,"Thane, Maharashtra",NA,ELIGIBILITY : Job Description We are looking for a Front-End Web Developer who is motivated to combine the art of.,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer - Min 1 year to 5 years of experience,Alakmalak Technologies Pvt. Ltd.,NA,15000 - 50000,"Alakmalak Technologies was founded in the year 2006, which specializes in web development, website design, eCommerce development, Web Application, Custom…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer - Min 1 year to 5 years of experience,Alakmalak Technologies Pvt. Ltd.,NA,15000 - 50000,"Alakmalak Technologies was founded in the year 2006, which specializes in web development, website design, eCommerce development, Web Application, Custom…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Core PHP Developer,Webonomics,Gujarat,NA,"Should have strong knowledge of Core PHP, Jquery and JavaScript.Must have knowledge of OOPS Concepts.Should be ready to learn new things and take challenges.","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Junior PHP Developer,UniFlyn SoftTech Private Limited,"Coimbatore, Tamil Nadu",NA,"Professional experience using PHP/MY SQL.Expert knowledge of PHP scripting- Proficiency in HTML, CSS,.Proficiency in HTML, CSS, JavaScript, Jquery, Responsive…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Web Developer,ITecHope,"Mumbai, Maharashtra",18000 - 25000,We are seeking for a PHP Laravel Developer responsible for both back-end and front-end development.This position requires a combination of programming skills …,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Developer Trainee,Inexoft Technologies,India,NA,Required Skills Java / JSP / PHP / Python / R / .Good multi-tasking skills and the ability to work in a fast paced business environment.,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer - Min 1 year to 5 years of experience,Alakmalak Technologies Pvt. Ltd.,NA,15000 - 50000,"Alakmalak Technologies was founded in the year 2006, which specializes in web development, website design, eCommerce development, Web Application, Custom…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Web Developer,Giggle and Bytes,"Gurgaon, Haryana",25000 - 30000,"Develop Php Websites Based on Requirements.Write, Test, Maintain and Debug Code.Job Types: Full-time, Walk-In.Salary: ₹25,000.00 - ₹30,000.00 per month.","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP/MySQL Developer,Biophlox Global,"Mumbai, Maharashtra",NA,"Mode: Full Time, Part-time.1-5 years of development experience in PHP.Extensive knowledge and experience with CMS systems like Wordpress, OpenCart or similar…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Sr. PHP Developer,Technokaar,"Mumbai, Maharashtra",NA,"Software developers with minimum 4 years of good PHP, MYSQL, JavaScript, JQuery experience,.Where the Developer must have worked on Web Application involving…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer - Min 1 year to 5 years of experience,Alakmalak Technologies Pvt. Ltd.,NA,15000 - 50000,"Alakmalak Technologies was founded in the year 2006, which specializes in web development, website design, eCommerce development, Web Application, Custom…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Junior PHP Developer,Atulya Group,"Ghaziabad, Uttar Pradesh",NA,Project Name: Agrow- (Blockchain Based Solution).Role objective: Support which would help in generating more clicks / visitors to the website of Atulya Group.,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Web Developer,Inuxu Digital Media Technologies Pvt Ltd,"Pune, Maharashtra",NA,Hands-on experience in designing and developing front end web and mobile-based applications using JavaScript/HTML5/CSS3/JQuery and related technologies.,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Full stack php laravel developer,Futurisk A.S,"Delhi, Delhi",30000 - 60000,"Full stack php laravel developers Skils: php laravel , lumen , restfull api , PostgreSql , Html5,css3 ,Bootsrap , Javascipt, Jquery, Vue.js.","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,BTW Business Solutions,"Coimbatore, Tamil Nadu",NA,Hiring PHP Developers 0-3 years & 3-5 years on urgent basis !Best career growth with excellent package will be availed for the dedicated employees.,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer - Technology,IndianMoney.,"Bengaluru, Karnataka",NA,We are looking for a Software developer who will be a part of a creative team that is responsible for all aspects of the ongoing software development from the…,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Junior PHP Developer - Fresher (2018/2019/2020 passouts),Xtapps Software Solutions Pvt Ltd,"Kochi, Kerala",NA,We are looking for freshers who had undergone any training or short term courses in php (Atleast 3 months certification).Should be able to work with a team.,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Sr. PHP Developer,Convomax,"Nagpur, Maharashtra",30000 - 40000,"The developer must have good knowledge of Ajax & JQuery, JS, JSON Web Services.We are looking for PHP developer with 3+ years of experience in PHP development…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,Sandstrom Infotech Pvt. Ltd.,"Delhi, Delhi",15000 - 35000,"Core php , PHP, laravel, CSS3, MySQL.We have in-house openings for the post of “PHP Developer, PHP Programmer” at South Delhi location.","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
PHP Developer,THE HR LAB INDIA,"Rajkot, Gujarat",NA,Software development: 1 year (Preferred).Total work: 1 year (Preferred).,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Experienced PHP Developer,Avishkar Solutions,"Thane, Maharashtra",NA,We are currently looking for an experienced PHP developer to join our expanding team.Minimum of 2years working experience of building object- oriented PHP…,"PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
Experienced PHP developers,Bhardwaj Network,Gujarat,NA,"Experience: 2-5 years of an experience in PHP/MySQL.Candidate should be able to handle all stages of web development that includes coding, development, testing…","PHP,Ajax,jQuery,MySQL,JavaScript,CSS,HTML,APIs,Unix,Linux, MVC Framework Architecture,PHPUnit- a unit testing framework,PHP- an open-source web framework,Photoshop,similar design tool,Good communication skills,A knack for problem-solving,The ability to think critically"
