Job_Name,Company_Name,Location,Salary,Description,Skills
React.js Developer,LA Digital,Remote,30000 - 40000,We are looking for a great JavaScript developer who is proficient with React.js.Your primary focus will be on developing user interface components and…,"React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
Software Developer - JS & React,Avishkaar,"Zakhira, Delhi",15000 - 25000,"Avishkaar is the category leader in robotics and STEM education providing a comprehensive platform to teach and learn 21st-century skills like Coding, Robotics,…","React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
UI Developer (React.js),Integrity Technologies,"Pune, Maharashtra",1000000 - 2000000,\*DESIGNATION : UI DEVELOPER (Exp. in react.js is Mandatory).Notice Period: 30 Days (Max) - Immidiate joiners preferred.Understands cross-browser CSS issues.,"React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
FRONT END DEVELOPER,"Madison(China)Industrial Co.,Limited",NA,40000 - 90000,"Front End Developers are responsible for ensuring the alignment of web design and user experience requirements, optimizing web pages for maximum efficiency, and…","React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
Frontend Developer - React JS,Ostramics Technologies,India,NA,"You will work with UX consultant, Product Manager, API developer to get things done.In nutshell, Ostramics platform empowers citizen developers to ideate,…","React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
Full Stack Web Developer,DPF Consulting,"Mumbai, Maharashtra",1350000 - 1800000,"DPF Consulting is a London-based startup focused on building two core web products:Magellan, a global technology vendor selection tool for the insurance…","React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
Middle Fullstack (Java+React.js) Engineer,AgileEngine,"The Rutu Estate, Thane, Maharashtra",NA,Proficiency with developer tools and debugging techniques.Striving for excellence is in our corporate culture.Knowledge of the Java core technologies.,"React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
UI Developer | 4 to 6 years | Mumbai,Capgemini,"Mumbai, Maharashtra",NA,Experience in JavaScript React HTML CSS Experience and exposure to VMware products or any data center application development.,"React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
React Js - Developer,ace infoway,"Ahmedabad, Gujarat",NA,"Ability to identify with the goals of FullStack clients, and dedicate yourself to delivering on the commitments you and your team make to them.","React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
React Native Developer,Corpusvision Technologies Pvt Ltd,"Mumbai, Maharashtra",25000 - 35000,"Build pixel-perfect, buttery smooth UI's across both mobile platforms.Leverage native APIs for deep integrations with both platforms.","React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
