Job_Name,Company_Name,Location,Salary,Description,Skills
 JavaScript / React Native / Redux Developer,classpro,"Mumbai, Maharashtra",NA,We are looking for talented Javascript developer who want to join our engineering team to build great application for Education domain.,"JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React.js Developer,Ajackus,"Mumbai, Maharashtra",400000 - 1200000,Mumbai3 - 12 years₹4L - ₹12L / yr (ESOP available).We are looking for a React Developer to join our awesome team and deliver a streamlined user experience.,"JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native Developer (Immediate joiners preferred),shree,"Delhi, Delhi",300000 - 480000,React native : 1 year (Preferred).React native: 1 year (Preferred).Collected from earlier answers and listed as part of your job description.,"JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native Developer,Root Info Solution,"New Delhi, Delhi",NA,"Key Skills: - Redux, HTML, CSS, react native, javascript .Leverage native APIs for deep integrations with both platforms.Job Role: - React Native Developer.","JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native Developer,Forpets Services,"Chennai, Tamil Nadu",350000 - 500000,Should have knowledge in native APIs.Forpets is a pet-tech startup in Chennai.We are looking for tech-enthusiasts who can provide their extraordinary skills…,"JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native Developer,Twin Labs,"Chandigarh, Chandigarh",NA,Leverage native APIs for deep integrations with both platforms.Diagnose and fix bugs and performance bottlenecks for performance that feels native.,"JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native Developer - immediate joiner,Pentoz Technology,"Chennai, Tamil Nadu",15000 - 35000,"Experience with React Js, React Native, JavaScript including DOM Manipulation and tha JavaScript object model.\* Good Knowledge of HTML5, CSS.","JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native Developer,MedRec Technologies,"Mumbai, Maharashtra",NA,"Prior experience with native Mobile Application Development for iPhone and Android using (Objective-C and Swift, or Java).Experience with User Data Security.","JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native Developer,HashStudioz,"Noida, Uttar Pradesh",400000 - 700000,Work with native modules when required.2+ years of professional experience working with React Native as well as professional software development.,"JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native Developer,Creative Thoughts Informatics,"Indore, Madhya Pradesh",NA,"Work with native modules when required.Implement clean, modern, smooth animations and transitions that provide an excellent user experience.","JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native App Developer,Sunshine Creative Labs,"Hyderabad, Telangana",160 - 180 an hour,Urgent requirement for React Nagative App developer as a freelancer.Candidate should have 5+ years of experience and we will pay 160rs/hour.,"JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native Mobile developer,az,NA,20000,"Design and develop mobile applications using React Native.NoSQL database Like Couchbase, MongoDB or Firebase.Job Types: Full-time, Part-time, Contract.","JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native developer,Sumanas Technologies,"Madurai, Tamil Nadu",NA,Leverage native APIs for deep integrations with both platforms.Diagnose and fix bugs and performance bottlenecks for performance that feels native.,"JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native Mobile App Developer,Netism Soft Private Limited,"Chromepet, Chennai, Tamil Nadu",15000 - 20000,Cross-platform mobile app developers who have developed mobile apps with a familiarity of React Native.Need to join immediately and start to work from home…,"JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native Developer,Appbylogic,"Calicut, Kerala",NA,"Minimum 4 years of experience in building large scale mobiles apps using React Native.Architect, build, and maintain excellent React Native applications with…","JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native Developer,"One Click IT Solutions, Ahmedabad","Ahmedabad, Gujarat",250000 - 600000,"Work with native modules when required.Work as part of a small team, which will include other React Native developers, a project manager, QA professional, and…","JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Developer,Protos Healthcare Technologies,NA,200000 - 450000,"Ability to create, develop & maintain React & React native application.Develop a flexible and well-structured front-end architecture.3rd floor, Plot No. 22,.","JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native Developer,Mobiweb Global Solutions,"New Delhi, Delhi",5000 - 15000,Good understanding of React Native framework with min. 2 years of experience in React Native based application development..Good command on HTML5 and CSS.,"JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native Developer,Appxerbia Software Solutions,"Pune, Maharashtra",20000 - 30000,"React native development: 2 years (Required).Leverage native APIs for deep integrations with both platforms.Ability to write well-documented, clean code.","JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
React Native Mobile App Developer,Imperial IT Pvt Ltd,"Noida, Uttar Pradesh",600000 - 800000,Looking for immediate or Serving Candidate who can join within 15 days.We are Looking React Native Mobile App Developer (Android / iOS).,"JavaScript,native iOS, Android development,React assumptions,Sentry,Bitrise,App Center,Redux,ESLint,Jest,React Native Testing Library,Problem-solving approach"
