Job_Name,Company_Name,Location,Salary,Description,Skills
"Jr.Software Developer(HTML,CSS,XML) - IT MNC Navi Mumbai",Supercure Pvt Ltd,"Navi Mumbai, Maharashtra",10000 - 12000,"Web development: 1 year (Preferred).Basic knowledge of MS Word, MS Excel (formulas+ tracking data).We have an excellent opportunity fo r Jr. Software…","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Web Content Developer,Panini Technolabs,"Mumbai, Maharashtra",11666 - 18333,"Use SEO best practices to generate traffic to our site, actively manage and promote blogs, and pitch articles to relevant third-party platforms.","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Front End Web Developer,Melonslice,"Nagpur, Maharashtra",300000 - 360000,"Expertise with HTML5, CSS3, and JavaScript.Better knowledge of Object-Oriented Programming (OOPs).Must be ready to learn new technologies.","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Web Developer,Winchart Associates,"Bengaluru, Karnataka",15000,Web designing: 1 year (Preferred).Conceptualize original ideas that bring simplicity and user friendliness to complex design roadblocks.,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Web Developer,Mehta Publishing House,"Pune, Maharashtra",16000,Please study the website completely for the application.This is a typically a website development and maintenance job for an e-commerce website - www…,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Front End Developer,STUDYLEAGUE IT SOLUTIONS LLP,"Dombivli, Maharashtra",15000 - 20000,Participate in discussions with clients and team members about technical best practices and help teams identify optimal technical solutions.,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Web Designer/Developer,Baro Web Solutions Inc.,"New Delhi, Delhi",400000 - 600000,As a web developer intern you will:Baro Web Solutions Group is looking for new candidates to join for the position of web developer.,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Web Developer,Wise,India,NA,Demonstrated accomplishments as a web developer.Knowledge of database systems and web application development.Understanding of the best development practices.,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Web Developer,SWQA SOLUTIONS,"Mumbai, Maharashtra",NA,"Self-driven to stay up to date with current technologies.Writing well tested code, familiar with clean coding (SOLID).","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
WEB DEVELOPER,Global Advertising Media Private Limited,"Mumbai, Maharashtra",NA,"Experience: 6 Months - 1 Years.Education: UG - Any Graduate - Any Specialization.He has relevant experience, and presently also leading some of the big…","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Web Developer,Poddar Verity srore,"Ramgarh, Jharkhand",8000 - 14000,"Urgent requirement for web developer in.Minimum experience: - 1 year and good knowledge to HTML, CSS, JS & WORD PRESS.CSS/CSS3: 1 year (Preferred).","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
QA Tester/Analyst,Corpusvision Technologies Pvt Ltd,"Mumbai, Maharashtra",25000 - 30000,Experience using web based and mobile testing frameworks (ex: Selenium WebDriver).We know that even with our team of rockstar developers there is always going…,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Node.js Developer,Embtel Web Solutions Pvt. Ltd.,"Mumbai, Maharashtra",NA,"Therefore, a basic understanding of front-end technologies is necessary as well.We are looking for a Node.js Developer responsible for managing the interchange…","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Web Developer,Swipfe Infotech,"Pune, Maharashtra",NA,.NET professional having experience in web site development using majorly Microsoft technologies and tools.,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Angular Developer,Applied Synergy Technologies Pvt. Ltd.,"Banjara Hills, Hyderabad, Telangana",400000 - 600000,"Must be able to consume data from REST services.Experience building responsive websites/web applications.Research, analyse, and develop product features of…","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
ColdFusion and SQL Developer,Asteriisc Technologies Private Limited,"Hyderabad, Telangana",600000 - 1200000,Keep up-to-date with web developments and trends.Experience designing or programming web applications or other software applications.,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
PHP Developer,Wavel.ai,Remote,40000 - 50000,Utilize backend data services and contribute to increase existing data services API.Keep abreast of new trends and best practices in web development.,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Web Designer & Developer,Weblanza Web Solutions Pvt Ltd,"Cannanore, Kerala",NA,Should be proficient in bootstrap / css / html5 / theme customization.Skill in UI / UX design is an advantage.Option of 'Work at Home' available.,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Web Developer - Frontend,2nibs Design & Technology,"New Delhi, Delhi",30000,"Developing JSP web pages along with the use of JSTL.The job requires knowledge & experience in the following:HTML, CSS, JavaScript, jQuery & AJAX.","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
React JS Developer,vmedulife Software Services,"Pune, Maharashtra",208449 - 560330,"Identifying web-based user interactions.Ultimately, a top-class React.js Developer should be able to design and build modern user interface components to…","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Opening for software developer- PHP,Hans infotech Pvt ltd,"Mumbai, Maharashtra",500000,"Core php: 1 year (Required).Design, develop, test, maintain and support high performance, scalable, innovative web-based applications.","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Front End Developer,Zepo,"Mumbai, Maharashtra",NA,Good experience in using web developer browser tools / firebug etc to detect front-end coding issues and troubleshoot them.WHAT ARE WE LOOKING FOR?,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Web Developer,Madoverfish India Pvt Ltd,NA,10000 - 15000,Creating a mobile friendly website with a MS loading time.Creating stunning website and maintaining company’s official webpages.Fixing errors on the website.,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
PHP Web Developer,Giggle and Bytes,"Gurgaon, Haryana",25000 - 30000,"Develop Php Websites Based on Requirements.Write, Test, Maintain and Debug Code.Job Types: Full-time, Walk-In.Salary: ₹25,000.00 - ₹30,000.00 per month.","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Web Designer & Developer,AKS Media Network,"Gurgaon, Haryana",15000 - 25000,Web designing: 1 year (Preferred).URGENT OPENING FOR WEB DESIGNER AND DEVELOPER FOR AN E-COMMERCE WEBSITE..INTERESTED CANDIDATES CAN CONTACT ON 9810790890.,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Finance & Business Management Transformation - Web Developer...,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",NA,The team will be creating a centralized reporting database and infrastructure to facilitate secure data distribution to BI tools such as Tableau and Alteryx as…,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Python Developer,nStore Technologies Private Limited,"Chennai, Tamil Nadu",NA,"Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services.","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Flutter Developer,ESDA INFOTECH,"Parel, Mumbai, Maharashtra",25000 - 30000,"ESDA provides Web Development services like Web designing, App Development, Digital Marketing, Graphic Designing, Hosting, Time and Material and Gap Analysis…","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Web Developer,Madoverfish India Pvt Ltd,NA,10000 - 15000,Creating a mobile friendly website with a MS loading time.Creating stunning website and maintaining company’s official webpages.Fixing errors on the website.,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Web Developer,Madoverfish India Pvt Ltd,NA,10000 - 15000,Creating a mobile friendly website with a MS loading time.Creating stunning website and maintaining company’s official webpages.Fixing errors on the website.,"HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Web Designer/Developer,Nutshell Advertising Pvt. Ltd.,"Hyderabad, Telangana",35000 - 40000,"Regular exposure to business stakeholders and executive management, as well as the authority and scope, to apply your expertise to many interesting technical…","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
"Assoc Biz Analyst, Web Apps-IND",Ingram Micro,"Mumbai, Maharashtra",NA,"Provide support to customers, developers and other analysts.Identify all relevant process exceptions and potential risks/challenges related to the…","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
Full Stack Web Developer,Project42 Labs,"Noida, Uttar Pradesh",240000 - 384000,"In-depth knowledge of design issues and best practices.Strong in Core web fundamentals: HTML, JavaScript, and CSS.Delivering a complete front end application.","HTML/CSS skills,Analytical skills,Responsive design skills,JavaScript skills,Interpersonal skills,TestingSkills, debugging skills,Back-end basics,Search engine optimization,SEO"
