Job_Name,Company_Name,Location,Skills,Yearly Salary
Executive Assistant/ Business Analyst to CEO,SoilTree Marketing Services Pvt Ltd,"Mumbai, Maharashtra","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure",330000.0
Business Analyst,MedTourEasy,"New Delhi, Delhi","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure",700000.0
Business Analyst,Cotiviti India,"Pune, Maharashtra","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure",510667.0
Business Analyst,Netbramha,"Bengaluru, Karnataka","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure",321333.0
Business Development Analyst Trainee for 2019&2020 batch,CEDCOSS Technologies,"Lucknow, Uttar Pradesh","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure",132000.0
Business Analysis,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure",328000.0
PRE SALES BUSINESS ANALYST,NorthPole Consultancy,"Mohali, Punjab","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure",524000.0
Senior Business Analyst,Capstone Technologies LLC,"New Delhi, Delhi","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure",720000.0
Business Development Associate -Sales,Byju's Think and Learn Pvt. Ltd,"Mumbai, Maharashtra","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure",650000.0
Business Analyst Level,CRIF,"Pune, Maharashtra","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure",668750.0
Implementation Engineer/Business Analyst,Value Chain Solutions,"Ahmedabad, Gujarat","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure",687500.0
Senior Business Analyst,Machint Solutions,"Hyderabad, Telangana","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure",706250.0
Business Analyst,Genesis Software,"Mumbai, Maharashtra","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure",725000.0
Business Analyst,3Sixty IT Solutions,"Fort, Mumbai, Maharashtra","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure",743750.0
