Job_Name,Company_Name,Location,Skills,Yearly Salary
"Enterprise Cloud Architect, Google Cloud",Google,"Mumbai, Maharashtra","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",510000.0
AWS Solutions Architect,"BreathX Technologies Inc, ( Canary Health Technologies)","Coimbatore, Tamil Nadu","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",510000.0
DR8: Cloud Security Specialist (m/w),QSSOT Technology,"Coimbatore, Tamil Nadu","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",510000.0
BI Developer,C2S Technologies,"Hyderabad, Telangana","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",510000.0
Cloud Engineer Trainee,Econz IT solutions,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",564000.0
"Head of Research, KLA Advanced Computing Labs, India",KLA-Tencor,"Chennai, Tamil Nadu","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",618000.0
Cloud Engineer,Tactive,"Erode, Tamil Nadu","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",672000.0
Regional Channel Manager - India,OutSystems,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",726000.0
Backend Developer,Enzeo,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",780000.0
Java Intern,InstaSafe,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",1103333.0
Sr. Manager - I Systems and Networking,citius tech,"Mumbai, Maharashtra","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",1426667.0
Hiring for Pivotal Cloud Foundry,ICS Consultancy Services,India,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",1750000.0
Software Engineering - Application Dev & Support,"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",1462500.0
Lead User Experience Designer,Salesforce,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",1175000.0
Staff Engineer- Cloud DWH Engineer,GLOBALFOUNDRIES,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",887500.0
Senior Python Developer,Quantsapp Private Limited,India,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",600000.0
Job Opening for Pivotal Cloud Foundry,ICS Consultancy Services,India,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",1750000.0
It Sales/ Cloud Computing Sales,Talent Zone Consultants,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",400000.0
SDET,Magnitude Software,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",296000.0
IT Executive,Nethradhama Hospitals Pvt. Ltd,"Jayanagar 7th Block, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",192000.0
Lock- Free– JVM– Multi Cluster,CareerXperts,India,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",192571.0
"Architecture, Data, Analytics Lead",Citizengage,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",193143.0
Technical Analyst,Click2Cloud,India,"Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",193714.0
OpenFOAM Hacker,simulationHub,"Pune, Maharashtra","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",194286.0
Senior Software Developer C++ & Cloud,SonicWall,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",194857.0
Technical Recruiter,ION,"Noida, Uttar Pradesh","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",195429.0
Software Engineer,WELLS FARGO BANK,"Hyderabad, Telangana","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",196000.0
"Manager, IT - Field Support",Ellie Mae,"Pune, Maharashtra","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",196571.0
Data Scientist,Entytle,"Pune, Maharashtra","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",197143.0
DevOps Cloud Engineer,CloudJournee,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",197714.0
"Sr. Cloud Infrastructure Engineer, R&D Labs",Qualys,"Pune, Maharashtra","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",198286.0
Customer Engineer for startups,Microsoft,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",198857.0
Asp.Net Developer,Mphasis,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",199429.0
AWS Engineer,App Innovation Technologies Pvt Ltd,"Gnanambika Mills, Tamil Nadu","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",200000.0
Senior Solution Engineer (Presales) - Licence - Middleware (...,Oracle,"Mumbai, Maharashtra","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",400000.0
Senior Python Developer,Quantsapp Private Limited,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",600000.0
Sr. Pre-Silicon Validation Engineer,Intel,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",654762.0
Customer Support Engineer,NTT MSC,"Chennai, Tamil Nadu","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",709524.0
Java - Chennai - JC01,Mphasis,"Chennai, Tamil Nadu","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",764286.0
AWS Cloud Architect,Collasys Global Services LLP,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",819048.0
Service Desk Technical Analyst,Citrix,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",873810.0
Senior Cloud Devops Engineer,Oracle,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",928571.0
Product Manager-Product Localization,Honeywell,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",983333.0
Data Scientist,Larsen & Toubro Infotech Limited,"Pune, Maharashtra","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",1038095.0
UX Designer,IBM,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",1092857.0
Senior Member of Technical Staff - Flow(QA Engineer),Nutanix,"Bengaluru, Karnataka","Database skills,Programming skills,Linux,DevOpsQuality Assurance,Information security,cloud technologies,multi-cloud environment,integrated, cloud certifications,DevOps,Measurement,analysis,Presentation Sklls, machine Learning",1147619.0
