Job_Name,Company_Name,Location,Skills,Yearly Salary
Data Analyst - Product,Saavn,"Mumbai, Maharashtra","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics",850000.0
Data & Insights Analyst II,MoneyGram,"Vasai, Maharashtra","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics",850000.0
Digital Data Analyst Intern,DG7,"Vasai, Maharashtra","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics",850000.0
Statistical Modeling / Data Analyst - NBFC Mumbai,Innovsource Services Private Limited,"Mumbai, Maharashtra","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics",850000.0
"Analyst, Data",XPO Logistics,"Mumbai, Maharashtra","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics",812500.0
Quantitative Research Analyst,Dolat Capital,"Mumbai, Maharashtra","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics",775000.0
Data Analyst - Presales,ConcertAI,"Bengaluru, Karnataka","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics",737500.0
Data Analyst,MedTourEasy,"New Delhi, Delhi","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics",700000.0
Data Scientist Intern,Salasar New Age Technologies,"Noida, Uttar Pradesh","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics",623333.0
Specialist - Data Quality,Novartis,"Hyderabad, Telangana","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics",546667.0
Data & Insights Analyst II,MoneyGram,"Mumbai, Maharashtra","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics",470000.0
