Job_Name,Company_Name,Location,Skills,Yearly Salary
"Consultant,Senior Consultant",Deloitte,"Mumbai, Maharashtra","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",200000.0
QA Engineer,Shipsy,"Gurgaon, Haryana","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",200000.0
Data Scientist - Machine Learning/Deep Learning - W F H,"Ultramatics, Inc.","Bengaluru, Karnataka","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",200000.0
Computer Vision Engineer,SwitchOn,"Bengaluru, Karnataka","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",690000.0
Deep Learning Internship,Untrodden Labs,"Delhi, Delhi","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",936000.0
Assistant Manager,Vodafone,India,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",633000.0
FPGA and System Design Engineer ( 0 to 2 years),Yantravision Software Pvt Ltd,"Gurgaon, Haryana","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",330000.0
Machine Learning and deep learning Developer.,Brainamaze,"Gurgaon, Haryana","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",900000.0
Web Content Writer,Yashus Digital Marketing,"Viman Nagar, Pune, Maharashtra","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",856154.0
Biz Fin Analyst,Udaan,"Bengaluru, Karnataka","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",812308.0
AI/Machine Learning Engineer,AssetOne,"Pune, Maharashtra","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",768462.0
Technology Reskilling and Development Program Manager,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",724615.0
Team Lead - Learning & Development,Prodapt SA,"Chennai, Tamil Nadu","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",680769.0
Programmer,CCS Computers,India,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",636923.0
Research Analyst,FintastIQ,"Indore, Madhya Pradesh","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",593077.0
SDM Manager,Microsoft,"Hyderabad, Telangana","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",549231.0
Manufacturing & Distribution Consultant Senior Staff,Crowe,"Noida, Uttar Pradesh","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",505385.0
MN Learning Solutions Expert,CO E&A Customer Operations EMEA & APAC,"Noida, Uttar Pradesh","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",461538.0
Content Writer – Chennai,PRIFFY,"Chennai, Tamil Nadu","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI",417692.0
