Job_Name,Company_Name,Location,Skills,Yearly Salary
Game Designer-Slots,Zynga,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",780000.0
Senior Instructional Designer,vega content,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",780000.0
3D Assets designer for 3D Games,iStudio Technologies,"Pune, Maharashtra","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",672000.0
Mobile Games QA Analysts,June Gaming,"Pune, Maharashtra","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",564000.0
3D Assets designer for 3D Games,iStudio Technologies,"Pune, Maharashtra","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",456000.0
GRAPHIC DESIGNER,Ugaoo.com,"Pune, Maharashtra","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",348000.0
Communications and Content Marketing Role,VMD Agro,"Mumbai, Maharashtra","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",240000.0
"GAMING All day, Everyday!",IDZ Digital Pvt. Ltd.,"Mumbai, Maharashtra","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",130000.0
3D Generalist,[x]cube LABS,"Hyderabad, Telangana","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",515000.0
Graphics (Fresher) Designer,Oengines Game Studio,"Surat, Gujarat","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",900000.0
UI/UX Designer - Gaming,June Gaming,"Pune, Maharashtra","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",877241.0
Lead Unity Developer(Exp 5+),Infocom,"Kochi, Kerala","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",854483.0
Graphic Designer/Senior Graphic Designer,Junglee Games,"Gurgaon, Haryana","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",831724.0
Web & Graphic Designer,Ucodice Technologies Pvt. Ltd.,"Noida, Uttar Pradesh","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",808966.0
Graphic Designer,ClearPoint Learning,"Shivajinagar, Pune, Maharashtra","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",786207.0
Programmer (C++),Sumo Digital Ltd,India,"Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",763448.0
Unity 3D Manager,HoloPundits,"Chennai, Tamil Nadu","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",740690.0
Senior Analyst - Customer experience,Junglee Games,"Gurgaon, Haryana","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",717931.0
Scrum Master,ucreate,"Chandigarh, Chandigarh","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",695172.0
UI Designer(Games),forstaffing india,"Noida, Uttar Pradesh","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",672414.0
Vue.JS Developer,Codal,"Ahmedabad, Gujarat","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",649655.0
Lead Game Developer,HungamaGames,"Hyderabad, Telangana","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",626897.0
SDE II - ETL,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",604138.0
SDE II- Backend,Junglee Games,"Gurgaon, Haryana","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",581379.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",558621.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",535862.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",513103.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",490345.0
AI / Gameplay Tools Programmer,Rockstar Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",467586.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",444828.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",422069.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",399310.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",376552.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",353793.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",331034.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",308276.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",285517.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",262759.0
Communications and Content Marketing Role,VMD Agro,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",240000.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",244524.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",249048.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",253571.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",258095.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",262619.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",267143.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",271667.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",276190.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",280714.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",285238.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",289762.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",294286.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",298810.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",303333.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",307857.0
Tech Lead - Front End,Junglee Games,"Bengaluru, Karnataka","Creativity,Artistic vision,A passion for video games,Storytelling ability,Wide-ranging knowledge of gaming trends,Strong analytical frame of mind,Excellent programming skills,Ability to work as part of a team",312381.0
