Job_Name,Company_Name,Location,Skills,Yearly Salary
Scala Programmer / Developer,RJS Tech Solutions LLP,"Bengaluru, Karnataka","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",300000.0
Game Developer / Programmer Unity3D,MastersDen Studio Pvt Ltd,"Bengaluru, Karnataka","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",360000.0
Game Developer,RV Technologies Softwares Pvt Ltd,"Mumbai, Maharashtra","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",660000.0
Script Writer for a Math Learning Platform,DYMERSE,"Mumbai, Maharashtra","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",360000.0
Unity Developer,Zartek Technologies,"Kochi, Kerala","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",720000.0
Unity Developer,Migoi Studios,"Thane, Maharashtra","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",504000.0
Unity / Unreal Developer,Buzzark Simulations pvt ltd,"Chennai, Tamil Nadu","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",288000.0
Unity3D Game Developer,Greencom EbizzInfotech LLP,"Surat, Gujarat","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",249000.0
Unity Game Developer,Atm Softek,"Sech Bhavan, West Bengal","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",210000.0
Unity Developer,Magostech Information System Pvt. Ltd.,"Noida, Uttar Pradesh","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",480000.0
Software Developer,STT Paytechs,"Chennai, Tamil Nadu","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",1250000.0
Unity3D Developer,Sachetan Knowledge Companions Pvt Ltd.,"Mohali, Punjab","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",510000.0
Unity Developer,Aim Digitech,"Jaipur, Rajasthan","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",300000.0
Android Developer. Pune,Choice Techlab,"Pune, Maharashtra","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",300000.0
Augmented Reality Developer Freelancer,PegaLogics,"Noida, Uttar Pradesh","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",300000.0
iOS Developer,Whyphy Infotech,"Mumbai, Maharashtra","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",300000.0
iOS Developer,Whyphy Infotech,"Mumbai, Maharashtra","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",300000.0
Hybrid Developer,Livepages,"Mumbai, Maharashtra","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",300000.0
Unity3D Developer,OJAS Softech,"Noida, Uttar Pradesh","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence",300000.0
