Job_Name,Company_Name,Location,Skills,Yearly Salary
Head Of Analytics – EdTech – Ground Floor !,CareerXperts,"Mumbai, Maharashtra","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",180000.0
DATA SCIENTIST / MACHINE LEARNING EXPERT,Spectrus,"Bengaluru, Karnataka","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",180000.0
Machine learning Specialsit,Novotree Minds Consulting Private Limited,"Bengaluru, Karnataka","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",180000.0
Service Engineer,Transasia,"Mumbai, Maharashtra","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",180000.0
Market Research Analyst,Kris Kay,"Mumbai, Maharashtra","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",180000.0
Software Developer,dvsistems,"Pune, Maharashtra","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",400000.0
Urgent Requirement Machine Learning,ICS Consultancy Services,"Mumbai, Maharashtra","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",1750000.0
Sr. Associate - Billing,CrowdStrike,"Pune, Maharashtra","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",1306667.0
"Software Engineer Python, Machine Learning/AI",Truedge Software Solutions,"Hyderabad, Telangana","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",863333.0
Sr. PHP Developer,Datascience Technologies Pvt Ltd,"Kottayam, Kerala","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",420000.0
Data Science Intern,singularis software technologies,"Kottayam, Kerala","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",380000.0
Junior Scientist,Urvogelbio private Ltd,"Hyderabad, Telangana","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",340000.0
Data Scientist,Levi Strauss & Co.,"Bengaluru, Karnataka","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",300000.0
Machine Learning Engineering Interns,Indian Angel network,"Delhi, Delhi","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",260000.0
MACHINE LEARNING ENGINEER,Neva Ventures,"Bengaluru, Karnataka","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",220000.0
Machine Learning Engineer,AISPL,"Coimbatore, Tamil Nadu","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",180000.0
Python Programming Language,Accenture,"Bengaluru, Karnataka","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",432000.0
Data Scientist,Salasar New Age Technologies,"Noida, Uttar Pradesh","Statistics,Probability,Data Modeling,Programing Skills,Programming Fundamentals,Applying ML Libraries & Algorithms,Software Design,Python,R,C,C++",684000.0
