Job_Name,Company_Name,Location,Skills,Yearly Salary
Network Engineer,CEDCOSS Technologies Pvt Ltd,"Lucknow, Uttar Pradesh","Secure network architecture,Vulnerability testing,Threat modeling,Virtualization technologies,Cloud security,Firewalls,Encryption solutions,Secure coding practices,Innovation,Collaboration,Problem solving,Communication",140000.0
Network & Security Build Engineer,Mylan,"Kochi, Kerala","Secure network architecture,Vulnerability testing,Threat modeling,Virtualization technologies,Cloud security,Firewalls,Encryption solutions,Secure coding practices,Innovation,Collaboration,Problem solving,Communication",1500000.0
NETWORK SECURITY ENGINEER,Calpine Group,"Kochi, Kerala","Secure network architecture,Vulnerability testing,Threat modeling,Virtualization technologies,Cloud security,Firewalls,Encryption solutions,Secure coding practices,Innovation,Collaboration,Problem solving,Communication",1064000.0
Network Support Engineer,IBKR,"Mumbai, Maharashtra","Secure network architecture,Vulnerability testing,Threat modeling,Virtualization technologies,Cloud security,Firewalls,Encryption solutions,Secure coding practices,Innovation,Collaboration,Problem solving,Communication",628000.0
IT Infrastructure & Cloud Engineer,S&L International,"Mumbai, Maharashtra","Secure network architecture,Vulnerability testing,Threat modeling,Virtualization technologies,Cloud security,Firewalls,Encryption solutions,Secure coding practices,Innovation,Collaboration,Problem solving,Communication",192000.0
Desktop Support Engineer,Prabhat Group of Industries,"Mumbai, Maharashtra","Secure network architecture,Vulnerability testing,Threat modeling,Virtualization technologies,Cloud security,Firewalls,Encryption solutions,Secure coding practices,Innovation,Collaboration,Problem solving,Communication",168000.0
Network Engineer,Achme Communication,"Coimbatore, Tamil Nadu","Secure network architecture,Vulnerability testing,Threat modeling,Virtualization technologies,Cloud security,Firewalls,Encryption solutions,Secure coding practices,Innovation,Collaboration,Problem solving,Communication",282000.0
Sr. Network Security Engineer,Rackspace,"Hyderabad, Telangana","Secure network architecture,Vulnerability testing,Threat modeling,Virtualization technologies,Cloud security,Firewalls,Encryption solutions,Secure coding practices,Innovation,Collaboration,Problem solving,Communication",259500.0
Information Security Engineer,Tally Solutions,India,"Secure network architecture,Vulnerability testing,Threat modeling,Virtualization technologies,Cloud security,Firewalls,Encryption solutions,Secure coding practices,Innovation,Collaboration,Problem solving,Communication",237000.0
IMMEDIATE FRESHERS REQUIRED- TECHNICAL SUPPORT ENGINEER,Royal Information Technology,"Noida, Uttar Pradesh","Secure network architecture,Vulnerability testing,Threat modeling,Virtualization technologies,Cloud security,Firewalls,Encryption solutions,Secure coding practices,Innovation,Collaboration,Problem solving,Communication",214500.0
IT Infrastructure & Cloud Engineer,S&L International,"Mumbai, Maharashtra","Secure network architecture,Vulnerability testing,Threat modeling,Virtualization technologies,Cloud security,Firewalls,Encryption solutions,Secure coding practices,Innovation,Collaboration,Problem solving,Communication",192000.0
Security Engineer,BrowserStack,"Mumbai, Maharashtra","Secure network architecture,Vulnerability testing,Threat modeling,Virtualization technologies,Cloud security,Firewalls,Encryption solutions,Secure coding practices,Innovation,Collaboration,Problem solving,Communication",249600.0
Network Engineer (Senior Systems Engineer),Talend,"Bengaluru, Karnataka","Secure network architecture,Vulnerability testing,Threat modeling,Virtualization technologies,Cloud security,Firewalls,Encryption solutions,Secure coding practices,Innovation,Collaboration,Problem solving,Communication",307200.0
Information Security Analyst - SOC,SINEVIS,"Noida, Uttar Pradesh","Secure network architecture,Vulnerability testing,Threat modeling,Virtualization technologies,Cloud security,Firewalls,Encryption solutions,Secure coding practices,Innovation,Collaboration,Problem solving,Communication",364800.0
