Job_Name,Company_Name,Location,Skills,Yearly Salary
IT System Administrator,Warade PackTech Private Limited,"Pune, Maharashtra","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",235000.0
JR IT SYSTEM ADMINISTRATOR,Trimble,"Chennai, Tamil Nadu","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",235000.0
System Administrator 2-IT,Oracle,"Hyderabad, Telangana","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",235000.0
"Technical Support, System Administrator",Renovision Automation Services Private Limited,"Delhi, Delhi","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",235000.0
Windows Administrator,TAXOSMART,"Mumbai, Maharashtra","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",230000.0
Technical Trainer - (4 to 12 years of experience),Mylan Laboratories Limited,"Bengaluru, Karnataka","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",225000.0
Unix System Administrator,IBM,"Bengaluru, Karnataka","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",220000.0
System Administrator,Madhees Techno Consultants Pvt Ltd,"Hyderabad, Telangana","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",215000.0
IT Administrator,Platforming,"Nashik, Maharashtra","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",210000.0
Tivoli Storage Manager Administrator,Softenger,"Mumbai, Maharashtra","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",190000.0
Network & System Administrator,ITarium Technologies India Pvt Ltd,"Pune, Maharashtra","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",170000.0
IT System Engineer,CHOKSI VACHHRAJ MAKANJI (CVM),"Mumbai, Maharashtra","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",150000.0
Linux Server Administrator,LA Technologies,"Mumbai, Maharashtra","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",159000.0
Desktop Support Engineer,Prabhat Group of Industries,"Mumbai, Maharashtra","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",168000.0
System Administrator,E3 Retail,"Gurgaon, Haryana","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",180000.0
Jr. Windows System Admin,Netedge Technology,"Ahmedabad, Gujarat","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",192000.0
Backup & Storage Administrator,Larsen & Toubro Infotech Limited,"Mumbai, Maharashtra","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",228000.0
System Administrator,MindSquare,"Bengaluru, Karnataka","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",264000.0
Human Resources Administrator,Silver group,"Mumbai, Maharashtra","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",300000.0
"Technical Support Engineer, Network Administrator",Acute Informatics Private Limited,"Mumbai, Maharashtra","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",270000.0
Sr. System Administrator-Virtualization,ISGN,"Bengaluru, Karnataka","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",240000.0
Admin Executive,INNsight.com,"Ahmedabad, Gujarat","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",210000.0
System Administrator,"SIMS HOSPITAL, Chennai","Chennai, Tamil Nadu","Problem-Solving and Administration,Networking,Cloud ,Automation and Scripting,Security and Monitoring,Account Access Management,IoT/Mobile Device Management,Scripting Languages,Hardware Management,SQL",330000.0
