Job_Name,Company_Name,Location,Skills,Yearly Salary
UI/UX Developer,Flixx IT Systems Private Limited,"Bengaluru, Karnataka","Research,Information Architecture,Wireframing,Prototyping,Visual Communication,Communication,Collaboration,UX research,UI prototyping,UX writing,User empathy,Interaction design,Coding,Analytics,Communication skills",600000.0
Android Developer,AllinCall Research and Solutions,"Mumbai, Maharashtra","Research,Information Architecture,Wireframing,Prototyping,Visual Communication,Communication,Collaboration,UX research,UI prototyping,UX writing,User empathy,Interaction design,Coding,Analytics,Communication skills",700000.0
UI/UX Developer,Datagrid Digital Marketing Agency,"Mumbai, Maharashtra","Research,Information Architecture,Wireframing,Prototyping,Visual Communication,Communication,Collaboration,UX research,UI prototyping,UX writing,User empathy,Interaction design,Coding,Analytics,Communication skills",470000.0
Web Developer,Shipkar Express,"Mumbai, Maharashtra","Research,Information Architecture,Wireframing,Prototyping,Visual Communication,Communication,Collaboration,UX research,UI prototyping,UX writing,User empathy,Interaction design,Coding,Analytics,Communication skills",240000.0
UI/UX Developer,Bew Dezins,"Kochi, Kerala","Research,Information Architecture,Wireframing,Prototyping,Visual Communication,Communication,Collaboration,UX research,UI prototyping,UX writing,User empathy,Interaction design,Coding,Analytics,Communication skills",310000.0
UI/UX Developer,Civica,"Vadodara, Gujarat","Research,Information Architecture,Wireframing,Prototyping,Visual Communication,Communication,Collaboration,UX research,UI prototyping,UX writing,User empathy,Interaction design,Coding,Analytics,Communication skills",380000.0
UI Developer / Designer,Atkku Services India Private Limited,"Coimbatore, Tamil Nadu","Research,Information Architecture,Wireframing,Prototyping,Visual Communication,Communication,Collaboration,UX research,UI prototyping,UX writing,User empathy,Interaction design,Coding,Analytics,Communication skills",450000.0
UI VP Role,Morgan Stanley,"Mumbai, Maharashtra","Research,Information Architecture,Wireframing,Prototyping,Visual Communication,Communication,Collaboration,UX research,UI prototyping,UX writing,User empathy,Interaction design,Coding,Analytics,Communication skills",660000.0
UI/UX Developer,Prabhudas Lilladher,"Worli, Mumbai, Maharashtra","Research,Information Architecture,Wireframing,Prototyping,Visual Communication,Communication,Collaboration,UX research,UI prototyping,UX writing,User empathy,Interaction design,Coding,Analytics,Communication skills",870000.0
UX Designing Internship,Center Of Digital Excellence Private Limited,"Noida, Uttar Pradesh","Research,Information Architecture,Wireframing,Prototyping,Visual Communication,Communication,Collaboration,UX research,UI prototyping,UX writing,User empathy,Interaction design,Coding,Analytics,Communication skills",1080000.0
App Developer,Vitech World,"Delhi, Delhi","Research,Information Architecture,Wireframing,Prototyping,Visual Communication,Communication,Collaboration,UX research,UI prototyping,UX writing,User empathy,Interaction design,Coding,Analytics,Communication skills",240000.0
